county_name,population,03_04,03_05,03_06,03_09,03_10,03_11,03_12,03_13,03_15,03_16,03_17,03_18,03_19,03_20,03_21,03_22,03_23,03_24,03_25,03_26,03_27,03_28,03_29,03_30,03_31,04_01,04_02,04_03,04_04,04_05,04_06,04_07,04_08,04_09,04_10,04_11,04_12,04_13,04_14,04_15,04_16,04_17,04_18,04_19,04_20,04_21
Henderson,84178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,4,6,8,10,10,10,10,11,12,12,13,13,13,15
Hidalgo,1005539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,7,11,18,27,28,38,46,62,79,86,86,99,113,113,139,146,181,188,190,198,217,225,235,242,255,261,268
Hill,39349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,5,5,5,5,6,6,8,8,8,8,8,8,9,10,10,10,10,11
Hockley,24916,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,5,5,7,7,7,7,7,7,7,7,10,10,10,10,12,12,13,14,14,14,15,15,15,15,16,16,16
Hood,61274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,6,6,6,8,9,9,9,10,10,11,12,13,13,13,15,15,15,15,15,15,15,15
Hopkins,38504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Houston,25147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Howard,37715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Hudspeth,3981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunt,101894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,4,4,4,8,8,1,1,1,14,15,15,16,18,18,22,22,25,25,25,26,32,35
Hutchinson,22540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,3,3,3,6,6,7,7,8,8
Irion,1712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack,9689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,3,3,3,3,3,4
Jackson,14356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6
Jasper,37167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,3,7,7,7,7,6,6,6,6,6,7,10
Jeff Davis,2478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson,268231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,8,12,16,18,18,27,31,40,29,51,59,78,78,87,94,100,100,124,134,140,143,157,167,167,180,196
Jim Hogg,5735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jim Wells,44487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Johnson,186847,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3,3,6,8,8,8,8,12,17,18,21,21,21,24,25,25,27,28,28,28,31,34,37,37,39,39,41,44
Jones,22286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,3,3,3,3,3,3
Karnes,16265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3
